setting_id,topology,dimension,overlap_ratio,overlap_ratio_target,seed,operator,rounds,longitudinal_conflict_reduction_ratio,mean_conflict_before,mean_regenerated_conflict_next,proposal_consensus_collapse_ratio_mean,conflict_oscillation,conflict_persistence_over_rounds,consensus_instability_over_rounds,objective_improvement_per_fe,FE_total,FE_commit_evaluation,FE_analysis_only,FE_coordination_extra,cross_baseline_evaluations_shared
m003_line_d100_o0.3,line,100,0.3,0.3,0,ConflictDampening,5,0.0,0.5390849351981947,0.5828771922472853,1.0,0.0,1.0925083609401303,0.027988921062533752,0.12407435047679814,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,1,NoCoordination,5,0.0,0.41750122084946734,0.41750122084946734,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,1,AverageConsensus,5,0.0,0.49533114549457746,0.5293765240932404,1.0,0.0,1.071300270645434,0.03210253824316916,0.12301266479259326,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,1,BestRewardSelection,5,0.0,0.460164114059592,0.4635257249055857,1.0,0.3333333333333333,1.0225706814894522,0.22768557009181442,0.09816915938109969,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,1,WeightedConsensus,5,0.0,0.4275811454542258,0.4422261624436939,1.0,0.0,1.036346235358525,0.04749872663045367,0.11527428590311695,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,1,ConflictDampening,5,0.0,0.4863597985227406,0.5183603886833633,1.0,0.0,1.0674906678175844,0.0274080154655873,0.12767715415553238,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,2,NoCoordination,5,0.0,0.29970148596962304,0.29970148596962304,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,2,AverageConsensus,5,0.0,0.4213249695627089,0.46943914353621297,1.0,0.0,1.1277701695736304,0.040588233682631265,0.18300026818059897,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,2,BestRewardSelection,5,0.0,0.36249243863473735,0.3771766704531005,1.0,0.6666666666666666,1.0516266045752827,0.14748800128462183,0.07654743598510624,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,2,WeightedConsensus,5,0.0,0.37991191158732013,0.4044948693460455,1.0,0.0,1.0741846276618143,0.05479471577251501,0.15341472691820768,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,2,ConflictDampening,5,0.0,0.4143507164504474,0.4596207423298869,1.0,0.0,1.12162827587977,0.03600813310396769,0.18434065016398202,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,0,NoCoordination,5,0.0,0.2747569681759353,0.2747569681759353,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,0,AverageConsensus,5,0.0,0.3523868438733419,0.3762467685370355,1.0,0.0,1.0776803247502422,0.03670998400115518,0.10968352651464311,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,0,BestRewardSelection,5,0.0,0.3229484305893182,0.33673654547194826,1.0,0.6666666666666666,1.0485172688536242,0.09135738992995254,0.010960858175883758,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,0,WeightedConsensus,5,0.0,0.3342806263792849,0.34840269581305533,1.0,0.3333333333333333,1.0512400674260227,0.05082973964068648,0.015170830562447847,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,0,ConflictDampening,5,0.0,0.35225418519491114,0.3761122543877188,1.0,0.0,1.0776579786344862,0.03199829354292338,0.11102492471843861,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,1,NoCoordination,5,0.0,0.3566082153959036,0.3566082153959036,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,1,AverageConsensus,5,0.0,0.37861109711373697,0.3871343283663503,1.0,1.0,1.0231222075414033,0.032129232446791216,0.09951644296265945,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,1,BestRewardSelection,5,0.0,0.3559441014278808,0.3585647539859895,1.0,0.6666666666666666,1.007466587653688,0.12659502806814865,0.012460707201756955,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,1,WeightedConsensus,5,0.0,0.36258542098895896,0.36502026867787635,1.0,1.0,1.0068485516656078,0.04998349898457863,0.01679476387621255,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,1,ConflictDampening,5,0.0,0.37872650360801147,0.38729016912275804,1.0,1.0,1.0232250830891927,0.027787612610722427,0.1018434655660358,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,2,NoCoordination,5,0.0,0.3361477558342731,0.3361477558342731,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,2,AverageConsensus,5,0.0,0.3731033958954767,0.3852869464099892,1.0,1.0,1.0343955397311968,0.032713984199991414,0.10545213379537631,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,2,BestRewardSelection,5,0.0,0.34215764152455347,0.3441350658566394,1.0,0.6666666666666666,1.0062566634894048,0.08341369460334747,0.0,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,2,WeightedConsensus,5,0.0,0.3429013475116311,0.3455522656599602,1.0,0.6666666666666666,1.0082103748251245,0.06410105064292489,0.0,95,5,0,0,False
m004_line_d500_o0.05,line,500,0.05,0.05,2,ConflictDampening,5,0.0,0.37329326448500477,0.3855397050984267,1.0,1.0,1.0345623289468922,0.027797225034258712,0.1081004527291918,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,0,NoCoordination,5,0.0,0.2701152051941791,0.2701152051941791,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,0,AverageConsensus,5,0.0,0.35887007965211176,0.386849946155826,1.0,0.0,1.090521025756645,0.0398678910207506,0.25117987412010667,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,0,BestRewardSelection,5,0.0,0.32649477715643804,0.3396720716196308,1.0,1.0,1.0478476332852928,0.12046922268245991,0.009480200013125807,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,0,WeightedConsensus,5,0.0,0.33137798044316835,0.3474076020684508,1.0,0.6666666666666666,1.0566338865878384,0.07491073879697523,0.03109432939127026,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,0,ConflictDampening,5,0.0,0.3573172794121158,0.38525982511914475,1.0,0.0,1.0905461807432864,0.03547070489101733,0.2542905705853789,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,1,NoCoordination,5,0.0,0.3217260429982592,0.3217260429982592,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,1,AverageConsensus,5,0.0,0.37571481825335734,0.39505555667078734,1.0,0.0,1.0545881761596048,0.03437849620063349,0.2321078788926986,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,1,BestRewardSelection,5,0.0,0.33710023031211894,0.341627027723779,1.0,0.3333333333333333,1.0137910488811863,0.11393248778330768,0.028810153037416564,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,1,WeightedConsensus,5,0.0,0.3372955945010482,0.34192505709896126,1.0,1.0,1.0142014807253918,0.0473057317648852,0.04479306833931823,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,1,ConflictDampening,5,0.0,0.3753898000874715,0.3946106260579111,1.0,0.0,1.0542817634879862,0.03022672265014465,0.23543433832088118,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,2,NoCoordination,5,0.0,0.2865603825933404,0.2865603825933404,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,2,AverageConsensus,5,0.0,0.3759406776873071,0.4052678465837016,1.0,0.0,1.0886864297025074,0.04103018934387736,0.2880620837021372,95,5,0,0,False
